P00001606T0076|17 38|alkaline phosphatases

P00001606T0076|43 57|5-nucleotidase

P00015731A0090|42 60|carbonic anhydrase

P00027739T0000|1 32|Serum gamma glutamyltransferase

P00029953T0045|20 26|lipase

P00030183T0000|38 44|HLA-B5

P00030937A0119|1 5|SGPT

P00030937A0119|7 11|SGOT

P00030937A0119|17 37|alkaline phosphatase

P00033873T0001|1 30|Gamma glutamyl transpeptidase

P00033873T0001|32 36|GGTP

P00050628A0202|4 7|IgG

P00052597T0000|12 28|immunoglobulin E

P00054900A0226|1 11|Peroxydase

P00054900A0226|43 65|chloroacetate esterase

P00055040A0000|102 104|IF

P00055040A0000|134 144|fibrinogen

P00055040A0000|146 152|fibrin

P00055040A0000|182 192|FR-antigen

P00055040A0000|272 276|HPF)

P00055040A0000|278 290|cryoglobulin

P00055040A0000|308 318|fibrinogen

P00056901A0308|14 27|human albumin

P00066874T0000|31 48|alpha fetoprotein

P00072928T0000|1 15|Serum-ferritin

P00083846T0000|1 8|Albumin

P00089778A0000|22 43|alpha 2-macroglobulin

P00089778A0000|45 64|alpha 1-antitrypsin

P00089778A0000|66 77|plasminogen

P00089778A0000|79 92|C3-complement

P00089778A0000|94 104|fibrinogen

P00089778A0000|127 130|FDP

P00100540T0000|50 74|platelet cyclo-oxygenase

P00101300A0257|44 46|T1

P00101300A0257|48 50|T2

P00101300A0257|52 54|T3

P00101300A0257|56 58|N0

P00101300A0257|60 62|N1

P00105401A0635|65 80|thyroid hormone

P00105401A0635|92 95|TBG

P00139624A0318|57 76|serum ceruloplasmin

P00150066A0100|14 24|fibrinogen

P00150066A0100|62 70|thrombin

P00154430A0906|113 135|HindIII-EcoRI fragment

P00173860A0475|45 54|aflatoxin

P00201881A0487|80 84|ACTH

P00201881A0487|89 92|MSH

P00209664A0836|40 42|LH

P00216939T0001|40 72|tricarboxylic acid dehydrogenase

P00219565A0172|18 37|hepatitis B antigen

P00221725A0523|32 50|cytochrome oxidase

P00221725A0523|52 62|peroxidase

P00224013A0661|402 428|beta-Vasodilator receptors

P00227393T0000|15 50|25-hydroxyvitamin D3-24-hydroxylase

P00227393T0000|71 101|cytochrome P-450 monooxygenase

P00227610A1593|38 46|DBP mRNA

P00231555T0001|83 87|ACTH

P00232354A0286|7 11|ACTH

P00232354A0286|31 38|insulin

P00232456T0000|16 28|RNA and gene

P00232456T0000|155 173|transforming genes

P00234264A0164|1 30|Gamma glutamyl transpeptidase

P00239169T0000|1 18|Dopamine receptor

P00261981A0434|27 40|somatomedin A

P00264240A1843|186 209|X. laevis oocyte 5S DNA

P00304806A0760|17 31|serum alpha1AT

P00331128A0000|22 32|calcitonin

P00331936T0000|14 40|anti-lymphocyte antibodies

P00331936T0000|51 67|immunoperoxidase

P00331936T0000|68 80|antiglobulin

P00336354A0543|23 25|GH

P00336354A0543|73 80|insulin

P00336547A0000|312 315|CBA

P00336547A0000|316 319|LAC

P00342623A0228|56 70|type B antigen

P00369397A0280|7 10|FSH

P00369397A0280|15 17|LH

P00369397A0280|68 72|GnRH

P00369397A0280|98 101|FSH

P00369397A0280|106 108|LH

P00377466A0188|23 42|luteinizing hormone

P00377466A0188|44 46|LH

P00377466A0188|49 77|follicle stimulating hormone

P00377466A0188|79 82|FSH

P00377466A0188|85 94|prolactin

P00377466A0188|96 100|HPRL

P00378492A0475|118 130|plasma renin

P00383169A0000|56 73|dopamine receptor

P00385457A0187|25 31|pepsin

P00420460A0291|78 83|renin

